Sequence,Character,Hex
"\z;",⨟,U+2A1F,1
"\z;",⨾,U+2A3E,2
"\z:",⦂,U+2982,1
"\at",@,U+0040,1
"\at",﹫,U+FE6B,2
"\at",＠,U+FF20,3
"\o+",⊕,U+2295,1
"\o--",⊖,U+2296,1
"\ox",⊗,U+2297,1
"\o/",⊘,U+2298,1
"\o.",⊙,U+2299,1
"\oo",⊚,U+229A,1
"\o*",⊛,U+229B,1
"\o=",⊜,U+229C,1
"\o-",⊝,U+229D,1
"\O+",⨁,U+2A01,1
"\Ox",⨂,U+2A02,1
"\O.",⨀,U+2A00,1
"\O*",⍟,U+235F,1
"\b+",⊞,U+229E,1
"\b-",⊟,U+229F,1
"\bx",⊠,U+22A0,1
"\b.",⊡,U+22A1,1
"\b/",⧄,U+29C4,1
"\b\\",⧅,U+29C5,1
"\b*",⧆,U+29C6,1
"\bo",⧇,U+29C7,1
"\bsq",⧈,U+29C8,1
"\box=",⌸,U+2338,1
"\box?",⍰,U+2370,1
"\box'",⍞,U+235E,1
"\box:",⍠,U+2360,1
"\box/",⍁,U+2341,1
"\box\\",⍂,U+2342,1
"\box<",⍃,U+2343,1
"\box>",⍄,U+2344,1
"\boxo",⌻,U+233B,1
"\boxO",⌼,U+233C,1
"\boxcomp",⌻,U+233B,1
"\boxcircle",⌼,U+233C,1
"\boxeq",⌸,U+2338,1
"\boxneq",⍯,U+236F,1
"\boxeqn",⍯,U+236F,1
"\boxl",⍇,U+2347,1
"\boxr",⍈,U+2348,1
"\boxu",⍐,U+2350,1
"\boxd",⍗,U+2357,1
"\boxdi",⌺,U+233A,1
"\boxdiv",⌹,U+2339,1
"\boxwedge",⍓,U+2353,1
"\boxvee",⍌,U+234C,1
"\boxdelta",⍍,U+234D,1
"\boxnabla",⍔,U+2354,1
"\integral",∫,U+222B,1
"\integral",∬,U+222C,2
"\integral",∭,U+222D,3
"\integral",∮,U+222E,4
"\integral",∯,U+222F,5
"\integral",∰,U+2230,6
"\integral",∱,U+2231,7
"\integral",∲,U+2232,8
"\integral",∳,U+2233,9
